,Dataset,Interestingness,HPO,Method,Score,Hyperparams,Duration
1,D31,naive_avg,SMAC HPO,FIXED,-0.0498111816647877,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 22,
  'HDBSCAN_1_min_cluster_size': 28,
  'HDBSCAN_2_min_cluster_size': 2,
  'HDBSCAN_3_min_cluster_size': 11,
  'HDBSCAN_4_min_cluster_size': 2,
  'KMeans_0_n_clusters': 29,
  'KMeans_1_n_clusters': 7,
  'KMeans_2_n_clusters': 30,
  'KMeans_3_n_clusters': 13,
  'KMeans_4_n_clusters': 19,
  'MeanShift_0_bandwidth': 0.334149549579,
  'MeanShift_1_bandwidth': 6.778008024112,
  'MeanShift_2_bandwidth': 44.2122338552882,
  'MeanShift_3_bandwidth': 28.1101790969353,
  'MeanShift_4_bandwidth': 31.63520970398,
})",547.3279774188995
2,D31,naive_avg,SMAC HPO,BINARY,-0.0206143430945689,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.True_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.True_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 16,
  'HDBSCAN_1_min_cluster_size': 16,
  'HDBSCAN_2_min_cluster_size': 30,
  'HDBSCAN_3_min_cluster_size': 16,
  'HDBSCAN_4_min_cluster_size': 16,
  'KMeans_1_n_clusters': 10,
  'KMeans_2_n_clusters': 28,
  'MeanShift_1_bandwidth': 49.9440104149383,
})",388.18701696395874
3,D31,naive_avg,SMAC HPO,ALG_NUMBER,0.2373488477820939,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 24,
  'KMeans_0_n_clusters': 18,
})",289.7809884548187
4,D31,naive_avg,SMAC BB,FIXED,0.027125670874207,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 30,
  'HDBSCAN_1_min_cluster_size': 26,
  'HDBSCAN_2_min_cluster_size': 12,
  'HDBSCAN_3_min_cluster_size': 15,
  'HDBSCAN_4_min_cluster_size': 10,
  'KMeans_0_n_clusters': 30,
  'KMeans_1_n_clusters': 28,
  'KMeans_2_n_clusters': 2,
  'KMeans_3_n_clusters': 2,
  'KMeans_4_n_clusters': 25,
  'MeanShift_0_bandwidth': 0.1011478612994,
  'MeanShift_1_bandwidth': 0.100634149549,
  'MeanShift_2_bandwidth': 32.9869755590303,
  'MeanShift_3_bandwidth': 2.2389197316292,
  'MeanShift_4_bandwidth': 26.9014896312557,
})",703.8576900959015
5,D31,naive_avg,SMAC BB,BINARY,0.2425995408172433,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.False_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.True_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 5,
  'HDBSCAN_1_min_cluster_size': 23,
  'HDBSCAN_3_min_cluster_size': 21,
  'KMeans_1_n_clusters': 12,
})",386.4884753227234
6,D31,naive_avg,SMAC BB,ALG_NUMBER,0.2578429778086749,"Configuration(values={
  'HDBSCAN': 4,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 18,
  'HDBSCAN_1_min_cluster_size': 11,
  'HDBSCAN_2_min_cluster_size': 2,
  'HDBSCAN_3_min_cluster_size': 25,
  'KMeans_0_n_clusters': 17,
})",359.06743264198303
7,D31,naive_avg,SMAC AC,FIXED,-0.0638545411942083,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 24,
  'HDBSCAN_1_min_cluster_size': 9,
  'HDBSCAN_2_min_cluster_size': 17,
  'HDBSCAN_3_min_cluster_size': 24,
  'HDBSCAN_4_min_cluster_size': 23,
  'KMeans_0_n_clusters': 5,
  'KMeans_1_n_clusters': 15,
  'KMeans_2_n_clusters': 8,
  'KMeans_3_n_clusters': 19,
  'KMeans_4_n_clusters': 11,
  'MeanShift_0_bandwidth': 15.9841284683515,
  'MeanShift_1_bandwidth': 49.9143934104169,
  'MeanShift_2_bandwidth': 43.6630088008965,
  'MeanShift_3_bandwidth': 0.469958319324,
  'MeanShift_4_bandwidth': 1.1312875884449,
})",301.4916272163391
8,D31,naive_avg,SMAC AC,BINARY,0.0379189006298715,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.False_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.True_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 1,
  'HDBSCAN_2_min_cluster_size': 18,
  'HDBSCAN_4_min_cluster_size': 3,
  'KMeans_2_n_clusters': 5,
  'MeanShift_3_bandwidth': 48.0046368759499,
})",181.3675775527954
9,D31,naive_avg,SMAC AC,ALG_NUMBER,0.0589084282140967,"Configuration(values={
  'HDBSCAN': 5,
  'KMeans': 3,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 10,
  'HDBSCAN_1_min_cluster_size': 21,
  'HDBSCAN_2_min_cluster_size': 1,
  'HDBSCAN_3_min_cluster_size': 1,
  'HDBSCAN_4_min_cluster_size': 17,
  'KMeans_0_n_clusters': 6,
  'KMeans_1_n_clusters': 30,
  'KMeans_2_n_clusters': 20,
})",151.561763048172
0,D31,naive_avg,BOHB,FIXED,-0.0525730613912805,"[('HDBSCAN', {'min_cluster_size': 14}), ('HDBSCAN', {'min_cluster_size': 16}), ('HDBSCAN', {'min_cluster_size': 16}), ('HDBSCAN', {'min_cluster_size': 16}), ('HDBSCAN', {'min_cluster_size': 12}), ('KMeans', {'n_clusters': 8}), ('KMeans', {'n_clusters': 14}), ('KMeans', {'n_clusters': 20}), ('KMeans', {'n_clusters': 21}), ('KMeans', {'n_clusters': 14}), ('MeanShift', {'bandwidth': 39.13426849512313}), ('MeanShift', {'bandwidth': 38.49605187614024}), ('MeanShift', {'bandwidth': 18.10496590199085}), ('MeanShift', {'bandwidth': 31.722021355420004}), ('MeanShift', {'bandwidth': 17.372118705288987})]",700.5914080142975
1,D31,naive_avg,BOHB,BINARY,0.121747428625438,"[('HDBSCAN', {'min_cluster_size': 26}), ('KMeans', {'n_clusters': 29}), ('KMeans', {'n_clusters': 15}), ('MeanShift', {'bandwidth': 29.191609289444465}), ('MeanShift', {'bandwidth': 33.33351658709878}), ('MeanShift', {'bandwidth': 16.978654181039296}), ('MeanShift', {'bandwidth': 24.11830984405671})]",535.5760917663574
